"Date","Price","Open","High","Low","Vol.","Change %"
"18/11/2024","2.45","2.54","2.54","2.45","5.93K","-3.54%"
"15/11/2024","2.54","2.54","2.54","2.50","13.10K","1.20%"
"14/11/2024","2.51","2.59","2.59","2.50","1.97K","-1.18%"
"13/11/2024","2.54","2.53","2.54","2.51","4.27K","0.40%"
"12/11/2024","2.53","2.59","2.59","2.51","11.60K","-1.17%"
"08/11/2024","2.56","2.56","2.56","2.55","2.76K","-1.16%"
"07/11/2024","2.59","2.59","2.59","2.59","0.02K","0.39%"
"06/11/2024","2.58","2.58","2.58","2.55","1.35K","1.18%"
"05/11/2024","2.55","2.59","2.59","2.55","1.94K","-1.54%"
"04/11/2024","2.59","2.60","2.60","2.59","0.08K","-0.38%"
"31/10/2024","2.60","2.58","2.60","2.55","0.74K","1.56%"
"30/10/2024","2.56","2.60","2.60","2.56","1.94K","-1.54%"
"29/10/2024","2.60","2.60","2.60","2.56","2.30K","0.00%"
"28/10/2024","2.60","2.60","2.60","2.53","0.63K","0.00%"
"25/10/2024","2.60","2.60","2.60","2.46","18.43K","-2.99%"
"24/10/2024","2.68","2.69","2.69","2.68","0.49K","-0.37%"
"23/10/2024","2.69","2.69","2.69","2.69","0.02K","1.89%"
"22/10/2024","2.64","2.69","2.69","2.64","0.02K","0.00%"
"21/10/2024","2.64","2.69","2.69","2.64","0.55K","0.00%"
"18/10/2024","2.64","2.63","2.64","2.63","0.59K","0.38%"
"17/10/2024","2.63","2.69","2.69","2.63","9.08K","-2.23%"
"16/10/2024","2.69","2.74","2.74","2.69","0.38K","-1.10%"
"15/10/2024","2.72","2.74","2.74","2.65","2.95K","0.00%"
"14/10/2024","2.72","2.71","2.72","2.71","0.96K","0.37%"
"11/10/2024","2.71","2.74","2.74","2.66","1.03K","-1.09%"
"10/10/2024","2.74","2.72","2.74","2.71","0.39K","1.11%"
"09/10/2024","2.71","2.75","2.75","2.65","1.20K","0.37%"
"08/10/2024","2.70","2.70","2.70","2.68","8.84K","-2.53%"
"07/10/2024","2.77","2.72","2.77","2.72","2.29K","0.00%"
"04/10/2024","2.77","2.85","2.85","2.71","20.12K","-1.07%"
"03/10/2024","2.80","2.85","2.85","2.80","0.07K","-1.75%"
"02/10/2024","2.85","2.87","2.87","2.79","3.01K","0.00%"
"01/10/2024","2.85","2.87","2.87","2.84","0.87K","-0.70%"
"30/09/2024","2.87","2.87","2.87","2.87","0.14K","1.06%"
"27/09/2024","2.84","2.84","2.84","2.83","3.40K","0.35%"
"26/09/2024","2.83","2.84","2.84","2.80","2.48K","0.00%"
"25/09/2024","2.83","2.86","2.86","2.83","0.46K","-1.05%"
"24/09/2024","2.86","2.86","2.86","2.86","0.02K","0.00%"
"23/09/2024","2.86","2.88","2.88","2.80","0.94K","-0.35%"
"20/09/2024","2.87","2.88","2.88","2.82","0.31K","0.70%"
"19/09/2024","2.85","2.89","2.89","2.84","2.41K","0.00%"
"18/09/2024","2.85","2.89","2.89","2.85","0.66K","-1.38%"
"17/09/2024","2.89","2.89","2.89","2.89","0.01K","1.40%"
"16/09/2024","2.85","2.86","2.89","2.85","1.11K","-0.35%"
"13/09/2024","2.86","2.88","2.88","2.83","1.41K","-0.35%"
"12/09/2024","2.87","2.88","2.88","2.87","0.50K","0.00%"
"11/09/2024","2.87","2.87","2.87","2.87","0.50K","0.00%"
"10/09/2024","2.87","2.87","2.87","2.87","0.00K","0.00%"
"09/09/2024","2.87","2.87","2.87","2.87","0.16K","0.00%"
