company,ticker,isin,announcement_url,source,t0_announcement,t0_effective
Ferro SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Ferro SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
GreenX Metals Ltd.,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
GreenX Metals Ltd.,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Grenevia SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Grenevia SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Kogeneracja SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Kogeneracja SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
LW Bogdanka SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
LW Bogdanka SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
MCI Capital ASI SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
MCI Capital ASI SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
ML System SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
ML System SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Mabion SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Mabion SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Medicalgorithmics SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Medicalgorithmics SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Mennica Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Mennica Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Mercator Medical SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Mercator Medical SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Mercor SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Mercor SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Molecure SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Molecure SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Mostostal Zabrze SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Mostostal Zabrze SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Murapol SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Murapol SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Onde SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Onde SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Oponeo.pl SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Oponeo.pl SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
PCC Rokita SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
PCC Rokita SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Pekabex SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Pekabex SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
PlayWay SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
PlayWay SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Polimex Mostostal SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Polimex Mostostal SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Quercus TFI SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Quercus TFI SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Rank Progress SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Rank Progress SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Ryvu Therapeutics SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Ryvu Therapeutics SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Sanok Rubber Company SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Sanok Rubber Company SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Scope Fluidics SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Scope Fluidics SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Selena FM SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Selena FM SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Selvita SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Selvita SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Shoper SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Shoper SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Stalexport Autostrady SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Stalexport Autostrady SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Stalprodukt SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Stalprodukt SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Sygnity SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Sygnity SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Synthaverse SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Synthaverse SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Tarczyński SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Tarczyński SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Torpol SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Torpol SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Toya SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Toya SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Unibep SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Unibep SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Unimot SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Unimot SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
VRG SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
VRG SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Vigo Photonics SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Vigo Photonics SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Votum SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Votum SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Wawel SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
