company,ticker,isin,announcement_url,announcement_date,join_date,effective_date,snippet,source
Asseco BS SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Asseco BS SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Astarta Holding PLC,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Astarta Holding PLC,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Atal SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Atal SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
BOŚ SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
BOŚ SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Bioceltix SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Bioceltix SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Bioton SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Bioton SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Bloober Team SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Bloober Team SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Boryszew SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Boryszew SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Bumech SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Bumech SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
CI Games SE,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
CI Games SE,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Captor Therapeutics SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Captor Therapeutics SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Celon Pharma SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Celon Pharma SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Cognor Holding SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Cognor Holding SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Columbus Energy SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Columbus Energy SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Comp SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Comp SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Creepy Jar SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Creepy Jar SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Creotech Instruments SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Creotech Instruments SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Dadelo SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Dadelo SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
DataWalk SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
DataWalk SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Decora SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Decora SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Echo Investment SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Echo Investment SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Elektrotim SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Elektrotim SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Enter Air SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Enter Air SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Erbud SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Erbud SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Fabryki Mebli Forte SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Fabryki Mebli Forte SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Ferro SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Ferro SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
GreenX Metals Ltd.,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
GreenX Metals Ltd.,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Grenevia SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Grenevia SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
